bp0,bs0,bp1,bs1,bp2,bs2,bp3,bs3,bp4,bs4,bp5,bs5,bp6,bs6,bp7,bs7
315,42,359,145,347,309,333,470,306,640,310,819,353,831,372,704
342,383,336,493,298,626,315,822,351,828,373,704,352,496,331,165
234,906,305,843,339,839,371,715,347,496,323,176,320,28,368,151
323,1057,370,740,345,517,331,195,327,19,351,159,353,276,349,437
336,546,326,202,316,10,336,145,361,266,351,427,305,609,306,795
296,0,339,128,360,254,342,423,311,607,295,788,329,834,354,741
329,304,326,432,298,599,282,784,320,832,352,752,336,561,306,265
260,890,273,813,311,847,329,755,322,566,304,272,285,7,305,123
283,1085,320,775,320,569,297,296,275,9,300,129,322,230,298,394
293,592,287,304,266,9,284,122,304,219,297,390,269,587,256,755
256,0,289,102,295,215,284,387,264,584,255,743,283,835,315,779
283,245,292,368,265,576,243,720,286,850,319,783,314,605,287,371
262,860,240,784,274,850,320,774,311,608,277,368,266,20,277,92
261,1107,304,819,304,613,294,383,256,16,271,103,302,181,292,358
291,623,279,395,243,17,282,93,299,173,294,364,268,576,240,688
240,15,275,74,304,174,288,368,256,569,236,702,276,842,279,792
283,186,295,351,250,559,240,702,266,852,295,794,308,630,272,423
244,805,230,732,259,850,298,803,320,631,276,430,272,29,272,61
239,1115,298,835,304,641,267,431,267,26,271,65,294,167,293,330
275,687,271,439,260,42,265,59,277,170,298,336,263,530,240,656
248,43,257,48,279,161,282,331,252,522,239,656,249,845,295,809
261,176,290,271,242,508,235,651,259,832,286,814,297,668,289,449
240,743,235,689,249,829,286,814,295,678,281,464,245,95,268,35
223,1118,278,843,304,670,272,471,256,105,267,52,290,158,283,304
283,746,284,476,256,113,254,43,278,155,293,304,266,461,249,638
243,115,249,20,281,152,295,299,266,464,240,628,240,831,274,814
260,144,283,281,263,442,240,618,255,816,271,818,306,704,282,519
246,675,243,656,238,802,273,817,299,705,282,509,263,185,257,0
224,1097,272,860,299,720,290,519,256,202,254,15,291,134,290,267
288,793,289,530,259,211,262,10,272,145,286,260,278,432,249,615
244,218,250,0,245,139,284,262,273,423,247,609,238,801,272,833
259,128,276,240,267,407,244,598,233,787,266,833,289,738,278,554
257,609,240,656,228,783,271,823,288,744,291,550,270,246,256,7
209,1059,256,873,276,751,274,541,262,267,253,25,272,135,1254,859
261,742,272,551,251,274,241,11,272,130,283,235,1279,1063,1053,943
243,0,238,0,253,117,274,230,270,396,255,593,911,1212,270,619
242,112,283,209,265,380,241,586,240,741,931,1271,890,902,284,191
240,585,243,627,227,747,252,849,297,767,1131,1126,276,133,254,0
213,1008,254,865,274,768,287,590,272,347,1043,546,260,112,269,202
265,881,275,587,256,350,251,15,850,496,1115,721,279,311,246,574
246,354,239,7,250,107,277,208,1193,1003,257,446,225,692,256,825
235,92,263,185,266,363,257,580,1118,1344,252,591,278,762,283,591
251,528,239,631,220,713,1071,1408,947,960,287,183,251,354,241,11
208,981,253,874,272,785,1130,1166,267,192,247,16,250,95,273,169
264,922,276,612,253,403,1125,601,251,84,272,176,254,362,238,550
237,398,233,10,1061,656,283,169,266,343,237,558,221,697,244,853
220,79,272,171,976,864,243,440,219,688,246,832,272,797,269,612
243,506,915,978,637,780,245,821,272,781,272,598,242,411,238,16
208,966,981,1258,272,597,282,603,242,401,224,17,240,75,257,166
742,1296,300,505,256,401,240,19,231,69,263,164,252,345,238,532
675,726,240,0,226,69,263,166,249,336,226,541,209,688,225,841
226,67,259,159,243,336,229,531,210,689,230,847,258,795,262,637
238,479,228,590,198,679,240,837,256,792,263,629,244,431,231,19
141,954,228,878,249,797,261,621,234,427,225,26,233,65,249,161
233,947,257,634,229,428,223,20,226,69,240,174,244,336,219,539
222,433,219,16,217,64,240,166,247,339,224,549,206,682,223,839
209,59,249,153,239,334,209,530,198,688,222,835,257,806,256,624
226,469,230,579,199,694,230,847,250,800,269,627,240,429,233,10
197,992,227,893,256,800,267,631,239,427,227,22,235,78,259,164
243,955,267,619,240,422,229,27,240,67,259,169,243,346,231,530
241,427,227,13,236,73,266,174,256,343,227,538,208,688,240,843
226,73,268,159,247,350,221,557,213,689,233,848,265,798,275,630
241,489,240,573,209,703,240,832,272,797,273,621,244,409,224,16
208,971,233,872,262,798,272,624,243,411,233,20,238,79,271,166
254,946,658,818,240,240,224,11,242,80,259,174,260,364,224,560
240,410,746,263,236,87,266,178,256,352,228,567,219,703,236,842
227,79,747,398,256,325,233,561,210,690,239,839,275,789,274,621
241,517,229,631,672,1011,247,645,267,778,273,598,251,394,238,12
201,991,243,887,603,1010,286,412,246,379,236,14,244,97,272,171
252,919,272,617,695,699,372,49,240,96,269,179,262,371,227,578
237,381,225,16,238,99,784,542,262,316,231,562,214,719,253,838
234,90,265,183,272,373,817,944,224,528,251,834,272,771,275,606
252,538,240,635,222,724,754,1175,281,570,273,576,258,359,236,10
208,1028,240,880,266,769,891,1006,253,160,240,16,253,111,264,192
262,895,270,595,256,358,774,364,624,346,263,201,267,368,240,580
233,350,243,0,251,116,271,211,818,716,247,477,213,721,251,848
231,107,269,199,245,368,251,578,796,1103,258,620,281,749,288,587
254,548,240,639,209,721,252,846,1019,1245,290,350,261,321,245,0
195,1015,247,869,274,770,275,575,865,752,758,306,265,111,267,208
267,875,273,589,240,336,247,2,266,119,1063,697,271,334,254,561
238,336,238,0,241,112,271,209,273,383,832,959,229,559,246,829
238,99,268,207,258,370,236,583,229,745,1239,1492,291,542,280,567
247,558,240,626,222,744,253,842,288,773,1111,1122,704,400,246,0
203,1040,254,865,274,773,277,589,259,364,257,21,949,528,279,187
266,883,271,590,247,359,242,10,260,118,273,218,796,679,254,511
238,349,239,0,253,106,266,199,281,367,247,576,1022,1262,688,874
228,96,264,174,266,364,251,574,228,720,261,844,817,1149,880,770
246,519,243,611,218,715,256,841,288,789,286,599,272,378,950,460
